EnzymePW	ApprovedEnzymeName	ECnumber	Uniprot 	Ensmbl	RheaID	CHEBIID	Km	Kcat	Kcat/Km	pH	Temperature	AdditionalConditions	Species	PMID	Database
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	1.64	-	-	-	-	mutant enzyme P314L	Homo sapiens	15056072	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	1.75	-	-	-	-	wild-type enzyme	Homo sapiens	15056072	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	2.07	-	-	-	-	mutant enzyme D219A	Homo sapiens	15056072	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	2.25	-	-	-	-	mutant enzyme L188P	Homo sapiens	15056072	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	2.52	-	-	-	37	mutant G371V	Homo sapiens	20800579	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	10.36	7.5	25	wild-type enzyme	Synechocystis sp.	23170977	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	1.17	8.2	37	D458R	Homo sapiens	21771585	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	1.6	8.2	37	D458A 	Homo sapiens	21771585	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	2.31	8.2	37	D458N 	Homo sapiens	21771585	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	15.68	7.5	25	wild-type enzyme	Homo sapiens	21771585	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	52	-	37	mutant G370V	Homo sapiens	20800579	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	133	-	37	mutant G369V	Homo sapiens	20800579	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	2.36	-	37	mutant G371V	Homo sapiens	20800579	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	15428	-	-	18.8	-	37	wild-type enzyme	Homo sapiens	20800579	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	17515	-	-	26.9	8.2	25	-	Pasteurella multocida	16339152	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	17515	-	-	55	-	-	inTris-HCl buffer (200 mM. pH 8.2)	Pasteurella multocida	16339152	BRENDA
GSS	Gluthation synthase 	 6.3.2.3	P48637	-	RHEA:13558	17515	-	-	10.36	7.5	25	wild-type enzyme	Synechocystis sp.	23170977	BRENDA
DP	Membrane alanyl aminopeptidase	 3.4.11.2	-	ENSG00000015413	cysteinylglycine -> cysteine 	4047	2.5	-	-	-	-	-	Rattus norvegicus	6122685	BRENDA
